Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CUZ,"Cousins Properties Inc",30.2,0.17,+0.57%,30,30.24,29.66,143430,"11:19 ET"
CVET,"Covetrus Inc",17.57,0.19,+1.09%,17.31,17.79,17,165754,"11:22 ET"
CVNA,"Carvana Co. Cl A",120.25,-0.12,-0.10%,119.36,121.34,118.64,177150,"11:20 ET"
CVS,"CVS Corp",64.39,-0.030000000000001,-0.05%,64.71,64.83,63.96,1576558,"11:22 ET"
CVX,"Chevron Corp",87.87,0.2,+0.23%,86.6,88.21,86.35,1308861,"11:22 ET"
CW,"Curtiss-Wright Corp",90,0.049999999999997,+0.06%,88.96,90.46,88.6,44791,"11:21 ET"
CXO,"Concho Resources Inc",50.93,0.93,+1.86%,49.66,51,49.41,299358,"11:22 ET"
CXP,"Columbia Property Trust Inc",13.34,0.3,+2.30%,12.97,13.39,12.95,129915,"11:21 ET"
CZR,"Caesars Entertainment Corp",12.02,-0.050000000000001,-0.41%,12.02,12.12,11.93,1977153,"11:21 ET"
D,"Dominion Resources",81.16,0.55,+0.68%,80.54,81.28,80.5,415209,"11:21 ET"
DAL,"Delta Air Lines Inc",28.52,-0.09,-0.31%,28.35,28.66,27.6,11909519,"11:22 ET"
DBX,"Dropbox Inc",21.6,0.31,+1.46%,21.39,21.6,21.24,1058453,"11:21 ET"
DCI,"Donaldson Company",46.33,0.46,+1.00%,45.8,46.49,45.79,100157,"11:20 ET"
DD,"Du Pont De.Nemours Inc",53.07,0.6,+1.14%,52.11,53.08,51.89,576604,"11:21 ET"
DE,"Deere & Company",154.14,0.42999999999998,+0.28%,152.84,154.64,152.12,168542,"11:21 ET"
DEI,"Douglas Emmett",31.16,0.53,+1.73%,30.49,33,30.49,177236,"11:19 ET"
DELL,"Dell Technologies Inc",54.52,0.76000000000001,+1.41%,53.82,54.52,53.34,554518,"11:21 ET"
