Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MEDP,"Medpace Holdings Inc",90.99,0.77,+0.85%,90.33,91.26,89.75,25540,"11:23 ET"
MELI,"Mercadolibre Inc",978,-2.83,-0.29%,982,990.88,977.19,67618,"11:25 ET"
MERC,"Mercer Intl Inc",8.17,0.050000000000001,+0.62%,8.09,8.3,8.07,15938,"11:21 ET"
MGEE,"Mge Energy Inc",64.83,1.06,+1.66%,63.73,64.83,63.6,10908,"11:23 ET"
MGIC,"Magic Software Entpr",11.3,0.32,+2.91%,11.14,11.3,11.04,9527,"11:09 ET"
MGLN,"Magellan Health",71.82,1.47,+2.09%,70.19,71.92,69.7,13909,"11:18 ET"
MGNX,Macrogenics,28.11,-0.17,-0.60%,28.07,28.31,27.6,114931,"11:23 ET"
MGPI,"MGP Ingredients Inc",36.71,-0.44,-1.18%,37.06,37.31,36.49,7097,"11:13 ET"
MGRC,"Mcgrath Rentcorp",54.21,0.54,+1.01%,53.41,54.33,53.41,9779,"11:23 ET"
MGTA,"Magenta Therapeutics Inc",7.65,0.23,+3.10%,7.41,7.73,7.33,152450,"11:17 ET"
MIDD,"Middleby Corp",80.59,0.66,+0.83%,78.77,80.89,78.51,175076,"11:24 ET"
MIME,"Mimecast Ltd Ord",41.18,0.45,+1.10%,40.39,41.18,39.84,186659,"11:23 ET"
MINI,"Mobile Mini Inc",31.56,0.02,+0.06%,31.57,32.16,30.81,157732,"11:25 ET"
MKSI,"Mks Instruments Inc",112.14,1.86,+1.69%,110,113,108.8,136999,"11:24 ET"
MKTX,"Marketaxess Holdings",496.04,-2.57,-0.52%,506.72,507.71,495.67,45088,"11:24 ET"
MLCO,"Melco Resorts & Entertainment",15.16,-0.25,-1.62%,15.3,15.49,14.95,885464,"11:25 ET"
MLHR,"Miller Herman Inc",24.3,-2.01,-7.64%,26.17,26.75,23.84,797166,"11:25 ET"
MMSI,"Merit Medical Sys",45.06,1.14,+2.60%,43.79,45.11,42.85,71930,"11:22 ET"
MMYT,"Makemytrip Ltd",15.49,0.19,+1.24%,15.48,15.51,14.73,124390,"11:20 ET"
MNRO,"Monro Muffler Brak",55.24,0.080000000000005,+0.15%,54.95,55.64,54.23,37783,"11:17 ET"
MNST,"Monster Beverage Cp",68.84,-0.27,-0.39%,69.09,69.22,68.66,253193,"11:24 ET"
MNTA,"Momenta Pharma",34.21,-1.72,-4.79%,35.11,35.7,32.47,966615,"11:23 ET"
MOMO,"Momo Inc Ads",17.27,-0.23,-1.31%,17.41,17.6,17.09,1414831,"11:23 ET"
MORN,"Morningstar Inc",140.88,0.25,+0.18%,139.57,141.37,139.57,21292,"11:23 ET"
MPB,"Mid Penn Bancorp Inc",18.01,0.26,+1.46%,18,18.29,17.96,852,"11:13 ET"
MPWR,"Monolithic Power Sys",237,7.05,+3.07%,230.62,237.4,230,47618,"11:21 ET"
MRCY,"Mercury Sys Inc",77.64,-0.40000000000001,-0.51%,77.83,78.51,76.6,86890,"11:23 ET"
MRKR,"Marker Therapeutics Inc",2.05,0.03,+1.49%,2.05,2.06,1.98,145137,"11:09 ET"
MRNA,"Moderna Inc",64.89,2.81,+4.53%,62.18,65.16,61,4830288,"11:25 ET"
MRTN,"Marten Transport L",24.99,0.16,+0.64%,24.69,25.43,24.69,16841,"11:19 ET"
MRTX,"Mirati Therapeutics",115.17,0.47,+0.41%,114.09,116.85,113.52,81519,"11:25 ET"
MRVL,"Marvell Tech Group",35.01,1.45,+4.32%,33.62,35.08,33.61,2507439,"11:25 ET"
MSEX,"Middlesex Water Company",67.55,1.63,+2.47%,65.35,67.55,65.35,9792,"11:22 ET"
MSFT,"Microsoft Corp",201.39,2.95,+1.49%,197.88,201.62,197.72,7514427,"11:25 ET"
MSTR,"Microstrategy Cl A",119.29,0.79000000000001,+0.67%,118.05,119.48,117.66,5596,"11:24 ET"
MTCH,"Match Group Inc CS",106.13,0.13,+0.12%,106.18,106.58,104.51,1083080,"11:22 ET"
MTSC,"M T S Systems Cp",17.21,0.030000000000001,+0.17%,17.02,17.52,16.78,29274,"11:19 ET"
MTSI,"Macom Technology S",34.32,1.43,+4.35%,33,34.34,32.63,75014,"11:25 ET"
MU,"Micron Technology",52.1,2.95,+6.00%,51.78,52.47,51.15,24465908,"11:25 ET"
MXIM,"Maxim Integrated",60.58,0.98,+1.64%,59.79,60.77,58.34,483082,"11:25 ET"
MYGN,"Myriad Genetics Inc",11.12,0.1,+0.91%,10.8,11.36,10.66,556332,"11:24 ET"
MYL,"Mylan NV Ord Shs",16.02,0.029999999999999,+0.19%,15.97,16.06,15.63,1269893,"11:25 ET"
MYOK,"Myokardia Inc",97.55,0.78999999999999,+0.82%,95.94,98.17,95.07,76667,"11:25 ET"
NARI,"Inari Medical Inc",48,-0.020000000000003,-0.04%,48.47,49.42,47.6,91393,"11:09 ET"
NATI,"Natl Instruments Cor",38.49,0.5,+1.32%,38.15,38.63,37.78,129302,"11:24 ET"
NAVI,"Navient Cp",7.3,0.06,+0.83%,7.16,7.34,7.08,590947,"11:25 ET"
NBIX,"Neurocrine Bioscienc",123.35,-2.15,-1.71%,125.1,125.98,122.94,122587,"11:24 ET"
NBL,"Noble Energy Inc",8.66,0.0099999999999998,+0.12%,8.47,8.72,8.26,5845883,"11:25 ET"
NBTB,"NBT Bancorp Inc",31.04,0.81,+2.68%,30.06,31.15,30.06,35739,"11:21 ET"
NCNA,"Nucana Plc ADR",5.5,0.0099999999999998,+0.18%,5.43,5.55,5.37,18217,"11:04 ET"
NDAQ,"Nasdaq Inc",118.57,1.02,+0.87%,116.83,118.57,116.45,78305,"11:24 ET"
NDSN,"Nordson Corp",187.56,2.7,+1.46%,185.24,187.69,184.94,27641,"11:23 ET"
NEO,"Neogenomics Inc",29.84,0.68,+2.33%,29.24,29.86,29.17,410936,"11:23 ET"
NEOG,"Neogen Cp",77.21,2,+2.66%,74.84,77.21,74.84,24133,"11:21 ET"
NERV,"Minerva Neuroscie",3.57,0.08,+2.29%,3.49,3.58,3.43,422811,"11:22 ET"
NESR,"National Energy Services Reunited Corp",6.87,0.12,+1.78%,6.6,6.93,6.56,111732,"11:17 ET"
NEXT,"Nextdecade Corp",2.18,-0.02,-0.91%,2.19,2.2,2.13,13834,"11:24 ET"
NFBK,"Northfield Bncrp Del",11.51,0.21,+1.86%,11.26,11.55,11.26,20085,"11:23 ET"
NFLX,"Netflix Inc",452.13,4.89,+1.09%,450.02,453.65,447,1211470,"11:24 ET"
NGHC,"National General Hld",21.53,0.42,+1.99%,20.99,21.54,20.91,25029,"11:22 ET"
NICE,"Nice Ltd",187.6,1.98,+1.07%,184.67,187.74,184,70369,"11:22 ET"
NKTR,"Nektar Therapeutics",22.82,0.4,+1.78%,22.26,22.82,22.15,189433,"11:22 ET"
NLOK,"Nortonlifelock Inc.",19.89,0.46,+2.37%,19.49,19.9,19.44,762355,"11:25 ET"
NMIH,"Nmi Holdings Inc",16.1,0.34,+2.16%,15.77,16.18,15.54,180593,"11:25 ET"
NMRK,"Newmark Group Inc Cl A",4.8,0.069999999999999,+1.48%,4.73,4.82,4.62,126703,"11:24 ET"
NNDM,"Nano Dimension Ads",2.16,0.04,+1.89%,2.13,2.16,2.07,439833,"11:23 ET"
NOVT,"Novanta Inc",106.87,2.97,+2.86%,103.68,106.87,103.68,10650,"11:23 ET"
NRC,"National Research Corp",56.84,0.68000000000001,+1.21%,56.13,56.84,56.13,3008,"11:17 ET"
NSIT,"Insight Enterpr",49.79,0.92,+1.88%,48.92,49.92,48.75,21132,"11:21 ET"
